2014-06-16 |0:5:37| ('127.0.0.1', 23456) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-16 |0:5:38| ('127.0.0.1', 23456) | Action = login. (hiru,A) | Resultat = match
2014-06-16 |0:9:17| ('127.0.0.1', 23531) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-16 |0:9:18| ('127.0.0.1', 23531) | Action = login. (hiru,A) | Resultat = match
2014-06-16 |0:9:30| ('127.0.0.1', 23531) | Action = deconnexion. (hiru)
2014-06-16 |0:9:42| ('127.0.0.1', 23557) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-16 |0:9:43| ('127.0.0.1', 23557) | Action = login. (user,U) | Resultat = match
2014-06-16 |0:10:0| ('127.0.0.1', 23557) | Action = deconnexion. (user)
2014-06-16 |0:11:10| ('127.0.0.1', 23574) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-16 |0:11:11| ('127.0.0.1', 23574) | Action = login. (hiru,A) | Resultat = match
2014-06-16 |0:16:6| ('127.0.0.1', 23650) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-16 |0:16:7| ('127.0.0.1', 23650) | Action = login. (hiru,A) | Resultat = match
2014-06-16 |0:16:29| ('127.0.0.1', 23650) | Action = deconnexion. (hiru)
2014-06-16 |0:16:40| ('127.0.0.1', 23654) | Action = Black_list_test. '127.0.0.1' | Resultat = authorized
2014-06-16 |0:16:41| ('127.0.0.1', 23654) | Action = login. (user,U) | Resultat = match
